timestamp,eventType,contentId,personId,source,location,communityId
1465413032,REACT-POSITIVE,99,-8845298781299428018,Instagram,Ethiopia,37235
1465412560,COMMENT-GOOD-NEGATIVE,29,-1032019229384696495,Facebook,German,33189
1465416190,REACT-NEGATIVE,93,-1130272294246983140,Facebook,England,38833
1465413895,COMMENT-BEST-POSITIVE,97,344280948527967603,Instagram,Eritrea,31009
1465412290,COMMENT-AVERAGE-POSITIVE,47,-445337111692715325,Yahoo,Ethiopia,28987
1465413742,COMMENT-BEST-POSITIVE,32,-8763398617720485024,Google,German,43854
1465415950,COMMENT-GOOD-NEGATIVE,67,3609194402293569455,LinkedIn,Ethiopia,31026
1465415066,COMMENT-GOOD-NEGATIVE,43,4254153380739593270,LinkedIn,England,30865
1465413762,COMMENT-BEST-POSITIVE,13,344280948527967603,Facebook,Eritrea,26875
1465413771,COMMENT-BEST-NEGATIVE,31,3609194402293569455,Google,America,17768
1465413864,COMMENT-BEST-POSITIVE,25,3609194402293569455,Wikipedia,Eritrea,43933
1465415229,COMMENT-AVERAGE-NEGATIVE,36,1908339160857512799,Wikipedia,America,38745
1465415228,REACT-NEGATIVE,83,1908339160857512799,Wikipedia,England,38841
1465415691,DISLIKE,5,1908339160857512799,LinkedIn,America,29271
1465413171,FOLLOW,1,7781822014935525018,LinkedIn,America,15496
1465415259,COMMENT-GOOD-NEGATIVE,31,8239286975497580612,Facebook,Ethiopia,16630
1465415623,FOLLOW,0,8239286975497580612,Google,America,18699
1465412288,REACT-NEGATIVE,86,-445337111692715325,Facebook,Ethiopia,23876
1465415693,FOLLOW,94,2766187446275090740,Facebook,America,37824
1465415691,COMMENT-BEST-POSITIVE,77,1908339160857512799,Wikipedia,America,15484
1465416196,COMMENT-GOOD-POSITIVE,78,-1130272294246983140,Yahoo,Eritrea,38913
1465415431,COMMENT-AVERAGE-POSITIVE,33,8239286975497580612,Wikipedia,German,27424
1465415060,DISLIKE,87,4254153380739593270,Instagram,Ethiopia,24104
1465413743,COMMENT-GOOD-NEGATIVE,99,-8763398617720485024,Facebook,America,23177
1465415565,LIKE,60,8239286975497580612,Wikipedia,German,32885
1465413879,UNFOLLOW,1,3609194402293569455,Instagram,Japan,30067
1465415695,REACT-NEGATIVE,74,1908339160857512799,Instagram,Japan,37391
1465413954,REACT-POSITIVE,68,-8763398617720485024,Yahoo,Japan,13062
1465413735,COMMENT-GOOD-NEGATIVE,51,3609194402293569455,Facebook,Eritrea,33708
1465414324,DISLIKE,16,-1479311724257856983,Yahoo,Ethiopia,39180
1465413771,COMMENT-GOOD-POSITIVE,10,3609194402293569455,Yahoo,Ethiopia,39376
1465413781,COMMENT-BEST-NEGATIVE,23,3609194402293569455,LinkedIn,Ethiopia,21857
1465413864,COMMENT-GOOD-POSITIVE,81,3609194402293569455,Google,America,43690
1465415756,DISLIKE,59,1908339160857512799,Yahoo,German,37179
1465413046,COMMENT-BEST-POSITIVE,20,-8845298781299428018,Facebook,Eritrea,38958
1465415686,FOLLOW,74,2766187446275090740,Facebook,Japan,26246
1465413867,UNCOMMENT,21,3609194402293569455,Yahoo,Japan,13489
1465413873,REACT-POSITIVE,59,344280948527967603,LinkedIn,Ethiopia,13671
1465415690,COMMENT-AVERAGE-POSITIVE,96,1908339160857512799,Facebook,German,45051
1465415949,DISLIKE,37,3609194402293569455,Instagram,America,25147
1465413845,FOLLOW,76,344280948527967603,Yahoo,German,29767
1465413689,FOLLOW,53,-108842214936804958,Facebook,Eritrea,34427
1465413735,COMMENT-AVERAGE-NEGATIVE,90,3609194402293569455,Facebook,German,21618
1465413946,COMMENT-AVERAGE-POSITIVE,25,-8763398617720485024,Instagram,German,30595
1465414478,FOLLOW,60,7022645187549453002,Facebook,Japan,23588
1465413752,UNCOMMENT,82,6879394870211872116,Instagram,England,42387
1465414324,DISLIKE,95,-1479311724257856983,Yahoo,Japan,45612
1465415574,COMMENT-BEST-POSITIVE,33,8239286975497580612,LinkedIn,Ethiopia,18321
1465414493,REACT-NEGATIVE,96,7022645187549453002,Instagram,Ethiopia,23623
1465413751,FOLLOW,23,6879394870211872116,Wikipedia,America,24488
1465413689,REACT-POSITIVE,0,-108842214936804958,Google,England,38026
1465413781,COMMENT-AVERAGE-NEGATIVE,32,3609194402293569455,Yahoo,Eritrea,43982
1465413762,LIKE,70,344280948527967603,Wikipedia,Japan,34084
1465412561,COMMENT-AVERAGE-NEGATIVE,15,-1032019229384696495,Facebook,England,32447
1465413171,UNCOMMENT,42,7781822014935525018,Yahoo,England,30104
1465415430,REACT-NEGATIVE,58,8239286975497580612,Yahoo,England,29901
1465413763,UNCOMMENT,3,3609194402293569455,Google,Japan,28684
1466034854,DISLIKE,16,-1387464358334758758,Yahoo,England,26490
1466034403,UNCOMMENT,47,-1387464358334758758,Instagram,Japan,34956
1466033932,LIKE,98,3609194402293569455,Wikipedia,Ethiopia,14166
1466034236,REACT-NEGATIVE,95,-1387464358334758758,Instagram,Japan,13679
1466034456,DISLIKE,62,-1387464358334758758,Google,Eritrea,42913
1466034895,UNFOLLOW,2,-1387464358334758758,Yahoo,German,37647
1466033622,COMMENT-AVERAGE-POSITIVE,51,-8424644554119645763,Google,German,29002
1466034855,COMMENT-AVERAGE-POSITIVE,90,-1387464358334758758,Google,America,44336
1466033617,COMMENT-BEST-NEGATIVE,6,-8424644554119645763,Yahoo,America,26917
1466034780,FOLLOW,31,-1032019229384696495,Instagram,England,39636
1466034780,COMMENT-GOOD-NEGATIVE,27,-1032019229384696495,Instagram,America,45503
1466034466,UNFOLLOW,28,-1387464358334758758,Yahoo,Japan,40541
1466034457,COMMENT-AVERAGE-POSITIVE,81,-1387464358334758758,Google,England,34469
1466033937,COMMENT-AVERAGE-NEGATIVE,53,3609194402293569455,LinkedIn,German,18415
1466034818,REACT-POSITIVE,92,-1032019229384696495,Google,Japan,44903
1466034237,LIKE,16,-1387464358334758758,Google,America,29528
1460566380,COMMENT-GOOD-NEGATIVE,5,-1602833675167376798,Wikipedia,German,35670
1460566003,UNFOLLOW,21,-1602833675167376798,Instagram,German,31026
1460566746,COMMENT-GOOD-POSITIVE,81,5621833459783231486,Wikipedia,Japan,37024
1460566250,UNFOLLOW,69,-2626634673110551643,LinkedIn,Ethiopia,16242
1460566179,COMMENT-GOOD-NEGATIVE,40,-1602833675167376798,Google,Ethiopia,12835
1460566517,COMMENT-GOOD-POSITIVE,85,-108842214936804958,Facebook,German,23299
1460566919,REACT-POSITIVE,48,-6153009241569363021,Instagram,Ethiopia,44645
1460568722,COMMENT-BEST-POSITIVE,64,-4585796377251906117,LinkedIn,England,18017
1460566378,REACT-POSITIVE,79,-1602833675167376798,LinkedIn,America,28446
1460566382,COMMENT-GOOD-POSITIVE,0,-1602833675167376798,Wikipedia,German,45427
1460566210,COMMENT-BEST-POSITIVE,18,-108842214936804958,Google,German,22191
1460567442,UNCOMMENT,56,-2339455719722814827,LinkedIn,Ethiopia,32607
1460566763,DISLIKE,19,5621833459783231486,Instagram,Japan,17462
1460566388,COMMENT-GOOD-POSITIVE,4,-1602833675167376798,Yahoo,German,43825
1460569552,COMMENT-BEST-POSITIVE,15,4340306774493623681,Instagram,Ethiopia,19767
1460566765,LIKE,82,5621833459783231486,Wikipedia,Ethiopia,25177
1460566421,REACT-NEGATIVE,52,5683029675627635125,Facebook,Ethiopia,17849
1460567374,REACT-POSITIVE,43,-1443636648652872475,Instagram,England,21026
1460570095,REACT-NEGATIVE,39,3891637997717104548,Wikipedia,Eritrea,26056
1460566310,LIKE,55,-108842214936804958,Facebook,German,19895
1460566083,COMMENT-AVERAGE-POSITIVE,53,-2050699458865052139,Google,Ethiopia,17436
1460565500,DISLIKE,65,3429602690322213789,Google,German,24453
1460566206,DISLIKE,81,-2626634673110551643,Facebook,German,21755
1460566393,REACT-POSITIVE,39,-1602833675167376798,Yahoo,England,40904
1460570179,COMMENT-BEST-NEGATIVE,47,-1443636648652872475,Wikipedia,Ethiopia,24709
1460568694,REACT-POSITIVE,54,-1443636648652872475,Wikipedia,Japan,37047
1460568778,UNFOLLOW,96,4340306774493623681,Google,England,30305
